MSTAR,A,PER
0.51,0.0344721,3.27346074
0.95,0.13760999999999998,19.12947337
0.96,0.091351,10.290994
1.12,0.185149,27.495606
1.13,0.0912977,9.478522
1.3,0.06276509999999999,5.03728015
1.31,0.036769300000000005,2.243752
1.23,0.0825598,7.812512400000001
0.89,0.07454730000000001,7.87288
0.3,0.07836239999999997,14.628
1.21,0.170989,23.477410100000004
0.99,0.48075,122.363553
0.912,0.0453704,3.6961219
0.92,0.039948800000000007,3.039577
1.33,1.6486900000000002,670.0
1.0,0.101981,11.89520511
0.73,0.13139,20.35972599
0.65,0.0161327,0.9283105
1.01,0.143629,19.78297415
1.24,0.0515012,3.8334999
1.25,0.0609811,4.9195838
0.95,0.5527,153.979578
0.866,0.0181491,0.959641
0.98,0.0675681,6.48021673
0.88,0.0994208,12.2057513
0.961,0.106909,13.0241
1.11,0.15931800000000002,22.0459018
1.03,0.0458416,3.53232449
0.53,0.231978,56.0560538
0.9,0.4946680000000001,133.71001
1.01,0.0521087,4.322482
0.478,0.0574114,7.267302000000001
0.933,0.119192,15.56
0.92,0.146649,21.38521506
0.72,0.017386000000000002,0.98678706
1.06,0.032016300000000004,2.03232507
0.65,0.0337283,2.80624233
1.0,0.121444,15.458056699999998
1.08,0.0366405,2.46502
0.575,0.353207,101.11141
0.0,0.0,13.61159129
0.97,0.19095,30.9446
0.6,0.0282874,2.24338185
1.08,0.0435026,3.18897601
0.86,0.106621,13.71220213
0.94,0.07713939999999997,8.07124073
1.0,0.0473714,3.764825
0.478,0.0860831,13.342996
0.24,0.0330793,4.48558383
1.0,0.0461455,3.6191634
1.18,4.92406,3668.0
0.84,0.103279,13.22713379
1.06,0.0726189,6.9424334000000005
0.76,0.0483728,4.45743164
0.88,0.230006,42.9495649
1.19,0.399998,84.703921
1.9,1.08598,299.36
1.22,0.0556094,4.33642933
1.0,0.0445351,3.43276598
0.94,0.0573666,5.1762429
0.84,0.0140554,0.66407381
1.57,1.64347,613.8
0.87,0.223617,41.40831347
0.927,0.238855,44.236
0.85,0.687282,225.7
0.82,0.68156,226.93
0.98,0.436075,106.247547
1.49,0.125617,13.32196237
1.02,0.118258,14.70748976
0.92,0.0482066,4.03046804
0.9,0.0323373,2.2359835
1.048,1.50087,653.21997
1.35,0.25272,39.93767
0.9,0.0907551,10.52629406
0.772,0.0499846,4.6455
0.86,0.165053,26.41045478
0.95,0.05687390000000001,5.08274652
0.84,0.0208123,1.19655156
0.98,0.059158,5.30880656
0.54,0.0130732,0.7429600000000001
1.22,0.019868200000000003,0.925542
1.05,0.0131638,0.53835431
1.06,0.0608315,5.3220230000000015
